,CAGR,Volatility,Sharpe,Max Drawdown
GODREJIND,0.11400716825916102,0.3263295428001342,0.3493620812902819,-0.6589905134332676
NH,0.16675104381274042,0.317564230655409,0.5250939108242422,-0.48632596685082896
BLUESTARCO,0.16023801326142295,0.31067913461258256,0.5157668971276106,-0.7370621019108277
EXIDEIND,0.11391514571858963,0.3060011006378016,0.3722703790318237,-0.5790871369294607
ENDURANCE,0.20510686520375132,0.3371473352355837,0.6083597399944795,-0.6273435989949105
JBCHEPHARM,0.3216221355279578,0.37790896658690426,0.8510571697535981,-0.6393402565668901
PAYTM,-0.38518357838798967,0.5659364319109839,-0.6806127979556813,-0.8236831132731065
ANGELONE,0.7739075919108618,0.5438216142860086,1.4230909025691014,-0.48550687461522657
MOTILALOFS,0.08253751110916419,0.4509606915974204,0.18302595469417698,-0.8033499349681186
ITI,0.1359192416269872,0.559057515723989,0.24312210784067445,-0.8017241379310349
360ONE,0.26076013575362245,0.397602799514156,0.655830733768107,-0.514859815396798
CARBORUNIV,0.23619556896322913,0.3181348563304122,0.7424385107865024,-0.552794292508918
AARTIIND,0.3256486286902993,0.3491760909540815,0.9326200651382052,-0.6173533353508287
SUNTV,0.05735366494537586,0.404334546487535,0.14184705572058753,-0.7529537135708662
KIOCL,0.6389922997245472,0.5751495020847566,1.1110020914707885,-0.9037205928075449
ISEC,0.09397004527312358,0.39171755231496636,0.23989235283887805,-0.5727436012572967
RADICO,0.20427201981260756,0.3864636772788994,0.5285671896797445,-0.5767224814713153
SUNDRMFAST,0.24744845566298612,0.3424133947499775,0.7226599760902093,-0.6256808177273743
CREDITACC,0.21600317293000137,0.44895728815544933,0.4811218764650309,-0.6832392093586124
COCHINSHIP,0.4110441768161923,0.41313249057495277,0.9949451718119431,-0.6273934793858903
HATSUN,0.23415185991794552,0.3388173938099805,0.6910857122325463,-0.5436382593762457
MANYAVAR,0.06915193035272371,0.3153666324196065,0.21927472105138446,-0.3943911238173027
CYIENT,0.1828773034980684,0.3458237270938498,0.528816530418224,-0.785689910135365
GET&D,0.1348140832384821,0.4131284826311735,0.3263248333299724,-0.9028293326734307
BRIGADE,0.2072340465358813,0.4170412238683967,0.4969150162509521,-0.7634315424610054
TIMKEN,0.26739268009938155,0.384218287737741,0.6959394922968839,-0.5022787694644881
NBCC,0.31752714807862237,0.47527487264275703,0.6680915957391532,-0.8925070028011207
JBMA,0.503075722124046,0.5212689988601424,0.9650981033288387,-0.8369095210899895
GILLETTE,0.12612148713825633,0.22372870505657713,0.5637251022677773,-0.48278610038610015
KANSAINER,0.15056052522137597,0.2859130668192589,0.5265954679733243,-0.4794248884481894
LAURUSLABS,0.23665032422945953,0.35176651969650213,0.6727482889322076,-0.5911528150134058
GRINDWELL,0.28118478540527714,0.29453927411422826,0.954659735109648,-0.3742285671797161
FIVESTAR,0.3526355090674318,0.38648578525223853,0.9124152103997447,-0.2798866521046104
SWANENERGY,0.20106736377455525,0.4308138132669657,0.46671522031713103,-0.5807575097953857
CHOLAHLDNG,0.2705894202267296,0.3304729238906036,0.8187945234396956,-0.6882593856655289
IRCON,0.4154625329442494,0.453610168328161,0.9159021599438354,-0.48914149983033595
SKFINDIA,0.21809426717582014,0.26968913901585806,0.8086876170530395,-0.4514913034852194
BSOFT,0.22017165861611665,0.4341822691615265,0.507095001924658,-0.7312859884836849
ASTERDM,0.10379680553691428,0.41473617032156224,0.25027189081780904,-0.564730398541287
RELAXO,0.3658271203175125,0.35620233547646213,1.0270205551240312,-0.49091695501730137
SONATSOFTW,0.285377572274347,0.42539927280052187,0.670846403651861,-0.7363931762794478
GSPL,0.08243469612322962,0.32978823555895187,0.24996251301539793,-0.6075999999999986
RATNAMANI,0.310865865373646,0.3395579128774116,0.9155017556191539,-0.4835075052251572
ABFRL,0.06532430039206427,0.414717110834855,0.1575153247488675,-0.6406096182593795
APLLTD,0.2717950982575219,0.3571101782064379,0.7610959161752114,-0.5840507677287654
PFIZER,0.11590324568190802,0.2571540820928699,0.4507151694370154,-0.435910040555487
RAMCOCEM,0.14372075735932044,0.31310872102561044,0.45901231012842003,-0.48232682060390786
SIGNATURE,3.6591115216202867,0.4162815379991868,8.789992319158374,-0.21939742959477515
PEL,0.10932780321382762,0.3829407736360277,0.285495331760467,-0.8004254123248342
ELGIEQUIP,0.2738935835591745,0.38531954035822125,0.7108219409390527,-0.6944114149821639
LALPATHLAB,0.1579415231706809,0.33872033749033315,0.46628886928051205,-0.5770921446561807
EMAMILTD,0.1601010129729057,0.328236749545573,0.4877607799692062,-0.7690062855432507
SANOFI,0.09981834309216331,0.25021485730941667,0.3989305198161257,-0.42440828161396993
JYOTICNC,9.438233121537184,0.6658008718598734,14.175759630911967,-0.13518777771014667
TRIDENT,0.249427485773974,0.49414018157821193,0.5047707008512015,-0.6913002806361084
CASTROLIND,0.08817134900752066,0.2854429318125913,0.3088930892337174,-0.6629633785957438
KAJARIACER,0.31762378125941626,0.31275389130886594,1.0155709971510505,-0.6010624169986734
KAYNES,2.074359418965415,0.4741726090876199,4.374692631353797,-0.23802488335925354
CENTURYTEX,0.1031401861205179,0.4444666282669424,0.2320538361286663,-0.8433834690216637
CHALET,0.21859932417509365,0.42701338395623656,0.5119261652873562,-0.7305782906212264
DEVYANI,0.1063081895505491,0.37118174424409656,0.2864046823397616,-0.3492924528301886
CDSL,0.36533344589967687,0.3790946779602774,0.9636997487418104,-0.5820391627278867
KEC,0.1509572827352612,0.39584587185368214,0.38135368705085315,-0.8082926438805738
SCHNEIDER,0.24582707425782657,0.4569380316397081,0.5379877734748488,-0.7344570928196151
IDFC,0.032819028394862615,0.39856722943659334,0.08234251581911271,-0.8723931054185319
BATAINDIA,0.20716745030910122,0.3005889342272882,0.6892051792979611,-0.4562192683849364
CIEINDIA,0.11269073892970582,0.43567104763472414,0.2586601509131911,-0.7939505347593587
KPIL,1.1827683074743458,0.37808469458569993,3.1283157567920257,-0.14335440505721353
RRKABEL,1.280524157503757,0.4769195608093416,2.6849898027472032,-0.2436347428826119
